"","ID","age_class","Education","Marital_Status","income_class","Country","LightFoodProds","MeatWinePur","WinePur","PurWithChild","GoldProds","Complain","Recency","Dt_Customer","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response"
"1",1826,"Gen-X","Bachelor","Divorced","Middle","SP",3.09500570234687,-0.138186821176495,-1.43715886183156,-0.687825831688558,2.71861446224282,0,0,"6/16/14",0,0,0,0,0,1
"2",1,"Boomers","Bachelor","Single","Middle","CA",-1.1504217384441,-0.365388484682551,1.32568004949748,-1.40376918369196,0.0227282641884696,0,0,"6/15/14",0,0,0,0,1,1
"3",10476,"Boomers","Bachelor","Married","Middle","US",-0.576505897578283,0.542012732561125,-0.65535247393968,-0.522112139398822,-0.237894731007617,0,0,"5/13/14",0,0,0,0,0,0
"4",1386,"Gen-X","Bachelor","Together","Lower-Middle","AUS",-0.339953433336427,-0.526347080044177,-1.10829812911296,0.107400548136743,-0.582180903881713,0,0,"5/11/14",0,0,0,0,0,0
"5",5371,"Millennials","Bachelor","Single","Poor","SP",-0.32825874020192,-0.70275381728737,-0.723007437274973,-0.226270671454457,0.366290256834847,0,0,"4/8/14",1,0,0,0,0,1
"6",7348,"Boomers","PhD","Single","Middle","SP",2.35410762465031,1.06993593905635,-1.12316396659466,-0.471569932298682,0.206439464158117,0,0,"3/17/14",0,0,0,0,0,1
"7",4073,"Boomers","Master","Married","Middle","GER",-0.409177670961495,0.169848264527888,1.99464993989657,-0.979154179901408,0.553758332893278,0,0,"1/29/14",1,0,0,0,0,1
"8",1991,"Gen-X","Bachelor","Together","Lower-Middle","SP",-0.667710648014352,-0.142804477142348,-0.71636783327251,-0.606772324199821,-0.40922669733167,0,0,"1/18/14",0,0,0,0,0,0
"9",4047,"Boomers","PhD","Married","Middle","US",-0.263364010532256,0.0199475906700285,1.00482902649238,0.143114092303611,-1.15123882958295,0,0,"1/11/14",0,0,0,0,0,0
"10",9477,"Boomers","PhD","Married","Middle","IND",-0.263364010532256,0.0199475906700285,1.00482902649238,0.143114092303611,-1.15123882958295,0,0,"1/11/14",0,0,0,0,0,0
"11",2079,"Boomers","Master","Married","Middle","US",0.658336068495143,1.4832226380429,0.481507295105449,-0.765871247658388,-1.0568153108481,0,0,"12/27/13",0,0,0,0,0,0
"12",5642,"Millennials","Master","Together","Middle","SP",-0.442509886290204,0.0777906662245295,-0.194501129269038,-0.215312740050657,-0.857818565108189,0,0,"12/9/13",0,0,0,0,0,0
"13",10530,"Boomers","PhD","Widow","Middle","IND",0.164751575977996,1.67545355516758,-0.784829461135754,-0.789769782116291,1.11810031460578,0,0,"12/7/13",0,0,0,0,0,1
"14",2964,"Millennials","Bachelor","Married","Poor","CA",-0.469163870419194,-0.504132036491872,-0.959822875387654,-1.28745709664366,0.330379069331173,0,0,"10/16/13",0,0,0,0,0,0
"15",10311,"Gen-X","Bachelor","Married","Poor","SP",-1.04865930310058,-3.15235112484528,2.03714768069619,-1.67039832404507,6.44788818641757,0,0,"10/5/13",0,0,0,0,0,0
"16",837,"Gen-X","Bachelor","Married","Middle","SP",-0.107767332865481,0.427156935151076,-0.952624085934698,1.30236339377133,-0.501411543538525,0,0,"9/11/13",0,0,0,0,0,0
"17",10521,"Gen-X","Bachelor","Married","Middle","SP",-0.107767332865481,0.427156935151076,-0.952624085934698,1.30236339377133,-0.501411543538525,0,0,"9/11/13",0,0,0,0,0,1
"18",10175,"Boomers","PhD","Divorced","Lower-Middle","SP",-0.566187025198228,-0.0054327772910055,-1.06006625460152,-0.618286067228463,-0.592067773795513,0,0,"8/1/13",0,0,0,0,0,0
"19",1473,"Boomers","Master","Single","Lower-Middle","CA",-0.471718610220302,-0.863904166931387,-0.485851421066033,-0.291792160868587,-0.236822792256265,0,0,"7/23/13",0,0,0,0,0,0
"20",2795,"Boomers","Master","Single","Lower-Middle","CA",-0.174471903629634,-0.426513273307229,-1.33794395483112,0.846657937921291,-0.653325525395064,0,0,"7/1/13",0,0,0,0,0,0
"21",2285,"Boomers","Master","Together","Lower-Middle","SA",-0.593473610569105,-0.490933387114916,0.329471387179786,0.119757333269496,0.0090138352967216,0,0,"5/28/13",0,0,0,0,0,0
"22",115,"Gen-X","Master","Single","Lower-Middle","IND",-0.278220360510702,-0.243021146427993,0.613213007622906,0.116664622347341,-0.890794643801391,0,0,"3/26/13",0,0,0,0,0,0
"23",10470,"Millennials","Master","Married","Lower-Middle","GER",-0.594868630355496,0.119437460666678,-0.937440021805878,-0.222161491986115,-0.113796466202045,0,0,"3/15/13",0,0,0,0,0,0
"24",4065,"Gen-X","PhD","Married","Lower-Middle","SP",-0.758829232810471,-0.63692263972711,0.900928807867664,-0.316979478331846,-0.493656482383133,0,0,"2/12/13",0,0,0,0,0,0
"25",10968,"Gen-X","Bachelor","Single","Middle","IND",-0.384355861662588,0.716621971091538,0.614929776462597,0.901669435469164,0.466808893922512,0,0,"11/23/12",0,0,0,0,0,0
"26",5985,"Gen-X","Master","Single","Lower-Middle","SP",-0.553766322536551,-0.309410786065822,-0.428859843904822,0.142048284066119,-0.468065379322503,0,0,"10/13/12",0,0,0,0,0,0
"27",5430,"Boomers","Bachelor","Together","Middle","SP",-0.243411653006473,-0.0512746712023737,1.57242103758644,4.05496557536202,-0.244143066210013,0,0,"9/14/12",0,0,0,0,0,0
"28",8432,"Boomers","Bachelor","Together","Middle","SP",-0.243411653006473,-0.0512746712023737,1.57242103758644,4.05496557536202,-0.244143066210013,0,0,"9/14/12",0,0,0,0,0,0
"29",453,"Boomers","PhD","Widow","Lower-Middle","SP",-0.348292785913181,-0.136623965216951,-0.983939747899782,0.46082442638774,-0.631787219768615,0,1,"6/29/14",0,0,0,0,0,0
"30",9687,"Gen-X","Bachelor","Single","Middle","CA",1.86169407775132,0.0912995546942334,-0.430763493320553,-0.828792073710479,-0.463803252862569,0,1,"5/31/14",0,0,0,0,0,0
"31",8890,"Gen-X","PhD","Divorced","Middle","SP",-0.179396607755126,-0.372457055479875,0.00884920341799064,0.842992613352548,-0.641669520700689,0,1,"5/30/14",0,0,0,0,0,0
"32",9264,"Millennials","Bachelor","Married","Middle","CA",1.6738645481818,1.30949705528036,-0.497610126777866,-0.506619287578172,2.11786065056636,0,1,"4/27/14",0,0,0,0,0,0
"33",5824,"Gen-X","PhD","Together","Lower-Middle","AUS",-0.181601222820843,-0.220894978074104,-1.41094599848191,0.849020881317324,-0.797560609525468,0,1,"4/11/14",0,0,0,0,0,0
"34",5794,"Gen-X","PhD","Married","Lower-Middle","IND",-0.769193871008721,-1.08321627187194,1.43930264754669,-0.0569645548732853,-0.444964492994962,0,1,"3/17/14",0,1,0,1,0,1
"35",3068,"Millennials","Bachelor","Married","Poor","SP",-0.325122943080164,-0.978528417737799,-0.446149460954482,-1.35203760134348,-0.255914025450661,0,1,"10/29/13",0,0,0,0,0,0
"36",7962,"Millennials","PhD","Single","Middle","SP",-0.748651377149185,1.66293112339338,0.734258424722229,-1.24127870598281,-0.625160699348804,0,1,"10/9/13",0,0,1,1,0,1
"37",2681,"Millennials","Master","Married","Middle","SP",1.57080438197687,0.477919580395531,-0.305801085511804,-0.831759285804826,-1.12187873222078,0,1,"8/1/13",0,0,0,0,0,0
"38",10141,"Boomers","Master","Divorced","Lower-Middle","SA",-0.69025106745025,0.0129506038214795,-1.07860072326266,-1.32382521383268,-0.428213147693183,0,1,"5/10/13",0,0,0,0,0,0
"39",3725,"Boomers","PhD","Single","Middle","SP",-1.26719634868111,1.43187261985091,1.38318744567097,-1.22020962948666,-1.06936382478496,0,1,"5/9/13",0,1,1,1,1,1
"40",3767,"Gen-X","Bachelor","Married","Middle","SP",1.6203965597176,-0.00703995786352413,0.188444913193089,0.194671759646729,1.44308328940795,0,1,"4/25/13",0,0,0,0,0,0
"41",5585,"Gen-X","Bachelor","Single","Poor","CA",-0.397355550778477,-0.865296839431481,-0.55997898813575,-0.269916472222754,-0.221333877614216,0,1,"4/20/13",0,0,0,0,0,1
"42",7030,"Boomers","PhD","Married","Middle","SP",-1.22603841316344,0.64026374196439,3.47230184199814,0.246395519219568,-1.04771559185933,0,1,"3/30/13",0,0,0,1,0,0
"43",1524,"Millennials","Master","Single","Middle","SP",1.57869844312096,-1.53296780138393,1.4089867136231,-1.30943110905059,-0.540385402719911,0,1,"3/1/13",0,0,0,1,0,1
"44",3657,"Millennials","Bachelor","Single","Lower-Middle","SP",-0.228489190310432,-1.03970738091369,0.0303028787568507,0.0564830078202852,-0.289400410627525,0,1,"2/14/13",0,0,0,0,0,0
